Title,Marla,Price_Raw,Price_PKR,Price_Per_Marla,Location
Top Location Near Doctor Hospital And Macdonald 14 Marla Plot Available For Sale,14.0,12.75 Crore,127500000,9107142.0,"Johar Town Phase 1 - Block G1, Johar Town Phase 1"
"1.5 Kanal Commercial Plot Khayaban-E-Nazaria, 200 Ft Road",,15 Crore,150000000,,"Johar Town, Lahore"
5.5 Marla Plot 2 Side Open Main Samsani Road Workshop Road,5.5,4 Crore,40000000,7272727.0,"Johar Town, Lahore"
1 Kanal Commercial Paid Plot For Sale In Johar Town Abdul Haque Road Super Hot Location Direct Meeting With Owner Near Banks Software House International Brands,,15 Crore,150000000,,"Johar Town Phase 2, Johar Town"
Prime 20 Marla Plot For Sale In Johar Town,20.0,4.5 Crore,45000000,2250000.0,"Johar Town, Lahore"
5 MARLA PLOT FOR SALE JOHAR TOWN,5.0,1.5 Crore,15000000,3000000.0,"Johar Town, Lahore"
7.5 MARLA. PLOT FOR SALE PRIME LOCTION NEAR ALLAH HO CHOWK,7.5,1.97 Crore,19700000,2626666.0,"Johar Town Phase 1 - Block E, Johar Town Phase 1"
5 Marla Plot For Sale Johar Town K Block,5.0,1.45 Crore,14500000,2900000.0,"Johar Town Phase 2, Johar Town"
1 KANAL LIFE TIME COMMERCIAL PLOT MAIN 150' ROAD BLOCK R1 JOHAR TOWN,,16.5 Crore,165000000,,"Johar Town Phase 2 - Block R1, Johar Town Phase 2"
I KANAL COMMERCIAL PLOT TOW SIDE OPEN MAIN CIVIC CENTER JOHAR TOWN,,25 Crore,250000000,,"Johar Town Phase 1, Johar Town"
JOHAR TOWN BLOCK J3 65 FEET ROAD 12 MARLA PLOT FOR SALE,12.0,3.75 Crore,37500000,3125000.0,"Johar Town Phase 2 - Block J3, Johar Town Phase 2"
Johar Town Lhr 20 Marla Plot For Sale,20.0,3.75 Crore,37500000,1875000.0,"Johar Town Phase 1 - Block D2, Johar Town Phase 1"
4 Kanal Residential Plot Is Available For Sale In Johar Town Phase 1 Block F2 Lahore  two plots can be sold,,14 Crore,140000000,,"Johar Town Phase 1 - Block F2, Johar Town Phase 1"
Top location plot for sale,,9 Crore,90000000,,"Johar Town Phase 2 - Block J3, Johar Town Phase 2"
5 Marla plot Builder location,5.0,1.65 Crore,16500000,3300000.0,"Johar Town Phase 2, Johar Town"
2 Kanal Commercial Land Available For Sale Life Time Commercial Paid Location Khayaban E Junnah Road Johar Town Lahore,,40 Crore,400000000,,"Johar Town, Lahore"
12 Marla Plot For Sale In H3 Block Near Emporium Expo Canal Road Johar Town,12.0,3 Crore,30000000,2500000.0,"Johar Town Phase 2 - Block H3, Johar Town Phase 2"
Almost 3 Marla Life Time Commercial Plot For Sale Expo Center,3.0,2.05 Crore,20500000,6833333.0,"Johar Town Phase 2 - Block J3, Johar Town Phase 2"
1 Kanal Plot For Sale In Johar Town P Block Near Emporium Mall,,8 Crore,80000000,,"Johar Town, Lahore"
2 Kanal Commercial Plot EMPORIUM MALL ROAD,,34 Crore,340000000,,"Johar Town Phase 2, Johar Town"
1 Kanal Commercial Plot Khayban E Firdousi,,10.9 Crore,109000000,,"Johar Town, Lahore"
12 Marla Commercial Plot Civic Center Main Boulevard Near Expo Center Johar Town Lahore,12.0,10.25 Crore,102500000,8541666.0,"Johar Town, Lahore"
Sale A Commercial Plot In Lahore Prime Location,,18 Crore,180000000,,"Khayaban-e-Firdousi, Johar Town Phase 1"
1 Kanal Commercial Plot Situated In Khayaban-e-Firdousi For sale,,10.5 Crore,105000000,,"Khayaban-e-Firdousi, Johar Town Phase 1"
A 5 Marla Residential Pair Plot Located In Johar Town Phase 2 - Block Q Is Available For sale,5.0,3.4 Crore,34000000,6800000.0,"Johar Town Phase 2 - Block Q, Johar Town Phase 2"
